Night,Recorder,Species,n
1,EMT,EPFU,3
1,EMT,LACI,7
1,EMT,LANO,14
1,EMT,MYEV,5
1,EMT,MYLU,1
1,EMT,40KMYO,3
2,EMT,EPFU,4
2,EMT,LANO,6
2,EMT,MYEV,3
2,EMT,40KMYO,2
2,Anabat,LANO,5
2,Anabat,EPFULANO,5
2,Anabat,EPFULACI,1
2,Anabat,LABO,1
2,Anabat,LOF,2
2,Anabat,NOID,1
2,Anabat,LACI,1
