"","Site","40KMYO","COTO","EPFU","HIF","laci","LACI","LANO","MYCA","MYEV","mylu","MYLU","MYOTIS","MYSE","MYVO","MYYU","LOF","FB","SC"
"1","241002","","","","","","","","","","","","","","","","","",""
"2","NE","0","0","1","0","0","3","4","0","3","1","13","1","1","7","0","0","0","0"
"3","NW","2","5","20","1","1","6","29","8","26","0","19","3","3","17","1","4","11","1"
"4","Transects","0","0","8","0","0","10","24","1","11","0","1","0","0","6","0","1","4","0"
"5","271731","","","","","","","","","","","","","","","","","",""
"6","SE1","3","1","0","0","0","0","6","5","26","0","6","1","1","27","0","0","0","0"
"7","SW","7","5","0","0","0","1","3","2","30","0","7","2","2","29","0","0","10","0"
"8","Total","12","11","29","1","1","20","66","16","96","1","46","7","7","86","1","5","25","1"
